session_name,classifier,cost,accuracy,beta1,beta2,calculated_learning_rate,classifier_instance,current_batch_index,current_batch_iteration_index,epoch,epsilon,f1,hidden_layers,iteration_count,lambd,learning_rate,learning_rate_decay,minibatch_size,precision,recall,shuffle,support,test_set,timestamp,total_batch_index,total_iteration_index
Session 0001,NeuralNetWithAdam,,0.12421805183199285,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,0.0,0.0,1e-08,0.027450412090058832,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.01543012440093566,0.12421805183199285,1.0,1119.0,train,2017-09-30 18:38:11.171440,0.0,0.0
Session 0001,NeuralNetWithAdam,20.19783288450705,0.048257372654155486,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,1.0,0.0,1e-08,0.03553995997770268,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.166492853702027,0.048257372654155486,1.0,1119.0,train,2017-09-30 18:38:11.181166,0.0,1.0
Session 0001,NeuralNetWithAdam,6.591525559808832,0.4039320822162645,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,2.0,0.0,1e-08,0.25757983292223396,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.1912270928356719,0.4039320822162645,1.0,1119.0,train,2017-09-30 18:38:11.190276,0.0,2.0
Session 0001,NeuralNetWithAdam,7.778679309914183,0.3833780160857909,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,3.0,0.0,1e-08,0.2124924662801089,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.14697870321787693,0.3833780160857909,1.0,1119.0,train,2017-09-30 18:38:11.198531,0.0,3.0
Session 0001,NeuralNetWithAdam,2.5471899627154237,0.3449508489722967,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,4.0,0.0,1e-08,0.2403465717804155,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.1844217742341067,0.3449508489722967,1.0,1119.0,train,2017-09-30 18:38:11.205290,0.0,4.0
Session 0001,NeuralNetWithAdam,1.8501595651719327,0.4414655942806077,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,5.0,0.0,1e-08,0.2704079399561317,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.1948918709335301,0.4414655942806077,1.0,1119.0,train,2017-09-30 18:38:11.212186,0.0,5.0
Session 0001,NeuralNetWithAdam,1.9204912317962783,0.2591599642537981,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,6.0,0.0,1e-08,0.21143305571415064,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.25548344810397794,0.2591599642537981,1.0,1119.0,train,2017-09-30 18:38:11.219339,0.0,6.0
Session 0001,NeuralNetWithAdam,1.3225432756439424,0.450402144772118,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,7.0,0.0,1e-08,0.2957015648959447,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3599990058723481,0.450402144772118,1.0,1119.0,train,2017-09-30 18:38:11.227281,0.0,7.0
Session 0001,NeuralNetWithAdam,1.3471263093362726,0.3833780160857909,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,8.0,0.0,1e-08,0.21418531229543905,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.2941854766640722,0.3833780160857909,1.0,1119.0,train,2017-09-30 18:38:11.234396,0.0,8.0
Session 0001,NeuralNetWithAdam,1.325553947946459,0.4423592493297587,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,9.0,0.0,1e-08,0.28742646694195045,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3783084876809752,0.4423592493297587,1.0,1119.0,train,2017-09-30 18:38:11.241482,0.0,9.0
Session 0001,NeuralNetWithAdam,1.2221317220201688,0.4405719392314567,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,10.0,0.0,1e-08,0.3652456433468523,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.35443491048860304,0.4405719392314567,1.0,1119.0,train,2017-09-30 18:38:11.247762,0.0,10.0
Session 0001,NeuralNetWithAdam,1.2166370259151318,0.4602323503127793,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,11.0,0.0,1e-08,0.40754269757609,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4006683559760833,0.4602323503127793,1.0,1119.0,train,2017-09-30 18:38:11.253732,0.0,11.0
Session 0001,NeuralNetWithAdam,1.210706613931226,0.4682752457551385,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,12.0,0.0,1e-08,0.4061816650418224,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3837598913809814,0.4682752457551385,1.0,1119.0,train,2017-09-30 18:38:11.260620,0.0,12.0
Session 0001,NeuralNetWithAdam,1.19243089893629,0.4414655942806077,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,13.0,0.0,1e-08,0.3765745058271093,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3527317474502461,0.4414655942806077,1.0,1119.0,train,2017-09-30 18:38:11.267117,0.0,13.0
Session 0001,NeuralNetWithAdam,1.1834955870510748,0.4879356568364611,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,14.0,0.0,1e-08,0.44170106157046135,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4060786812270021,0.4879356568364611,1.0,1119.0,train,2017-09-30 18:38:11.272988,0.0,14.0
Session 0001,NeuralNetWithAdam,1.185511411664122,0.4700625558534406,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,15.0,0.0,1e-08,0.4141875103783996,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.38578384671545696,0.4700625558534406,1.0,1119.0,train,2017-09-30 18:38:11.279009,0.0,15.0
Session 0001,NeuralNetWithAdam,1.1870479626141657,0.4486148346738159,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,16.0,0.0,1e-08,0.31914947986939785,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3480871845160098,0.4486148346738159,1.0,1119.0,train,2017-09-30 18:38:11.285325,0.0,16.0
Session 0001,NeuralNetWithAdam,1.1786908586760223,0.45218945487041995,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,17.0,0.0,1e-08,0.3618896573881652,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3541995734588551,0.45218945487041995,1.0,1119.0,train,2017-09-30 18:38:11.291611,0.0,17.0
Session 0001,NeuralNetWithAdam,1.176624012065625,0.4915102770330652,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,18.0,0.0,1e-08,0.4457485444045169,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4191551141494216,0.4915102770330652,1.0,1119.0,train,2017-09-30 18:38:11.297628,0.0,18.0
Session 0001,NeuralNetWithAdam,1.1793591066727287,0.4584450402144772,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,19.0,0.0,1e-08,0.4153874545223484,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3810804633092961,0.4584450402144772,1.0,1119.0,train,2017-09-30 18:38:11.303639,0.0,19.0
Session 0001,NeuralNetWithAdam,1.1824005669287854,0.4334226988382484,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,20.0,0.0,1e-08,0.36971808868806,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.346903153847901,0.4334226988382484,1.0,1119.0,train,2017-09-30 18:38:11.309482,0.0,20.0
Session 0001,NeuralNetWithAdam,1.1884081639676298,0.4235924932975872,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,21.0,0.0,1e-08,0.3161075771679556,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3250464215935653,0.4235924932975872,1.0,1119.0,train,2017-09-30 18:38:11.315148,0.0,21.0
Session 0001,NeuralNetWithAdam,1.1853172553202465,0.4316353887399464,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,22.0,0.0,1e-08,0.32565534703604404,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3373240829803055,0.4316353887399464,1.0,1119.0,train,2017-09-30 18:38:11.321046,0.0,22.0
Session 0001,NeuralNetWithAdam,1.1797505924033096,0.4361036639857015,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,23.0,0.0,1e-08,0.3763571495620325,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3551403334566385,0.4361036639857015,1.0,1119.0,train,2017-09-30 18:38:11.326850,0.0,23.0
Session 0001,NeuralNetWithAdam,1.1840714247120332,0.4495084897229669,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,24.0,0.0,1e-08,0.4052883988597665,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3698059376158664,0.4495084897229669,1.0,1119.0,train,2017-09-30 18:38:11.332601,0.0,24.0
Session 0001,NeuralNetWithAdam,1.1830814916423091,0.4477211796246649,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,25.0,0.0,1e-08,0.4047249624741602,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.36926396572772624,0.4477211796246649,1.0,1119.0,train,2017-09-30 18:38:11.338502,0.0,25.0
Session 0001,NeuralNetWithAdam,1.1760650331020457,0.44325290437890974,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,26.0,0.0,1e-08,0.3950776498883827,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.36188529069505787,0.44325290437890974,1.0,1119.0,train,2017-09-30 18:38:11.344459,0.0,26.0
Session 0001,NeuralNetWithAdam,1.1775730753236124,0.42180518319928506,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,27.0,0.0,1e-08,0.3534700640378684,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3327861544734513,0.42180518319928506,1.0,1119.0,train,2017-09-30 18:38:11.351250,0.0,27.0
Session 0001,NeuralNetWithAdam,1.1770240692409355,0.41823056300268097,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,28.0,0.0,1e-08,0.3507129490272981,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3275506543668074,0.41823056300268097,1.0,1119.0,train,2017-09-30 18:38:11.357133,0.0,28.0
